study_id,title,first_author,venue,year,iot_domain,topology,agent_architecture,reasoning_strategy,cybersecurity_focus,benchmarks,critical_limitations,compound_failure_mode,reports_false_discovery_rate,coding_source
ref-1,BARTPredict: Empowering IoT Security with LLM-Driven Cyber Threat Prediction,Diaf,IEEE Xplore,2024,general IoT,,single-agent,none,detection,,,error-propagation,,manuscript-explicit
ref-2,"Agentic AI Security: Threats, Defenses, Evaluation, and Open Challenges",Chhabra,IEEE Xplore,2025,cross-cutting,,multi-agent,,,,,error-propagation,,manuscript-explicit
ref-3,Agent-Based AI Approach to Security in IoT Systems Leveraging GenAI,Petrovic,IEEE Xplore,2025,general IoT,,single-agent,,,,,,,author-verified
ref-4,A Multi-Agent System for Cybersecurity Threat Detection and Correlation Using Large Language Models,Hmimou,IEEE Xplore,2025,cross-cutting,,multi-agent,,detection,,,,,manuscript-explicit
ref-5,Debate-Driven Multi-Agent LLMs for Phishing Email Detection,Nguyen,IEEE Xplore,2025,cross-cutting,,multi-agent,,threat-intelligence,,,,,manuscript-explicit
ref-6,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems,Sun,IEEE Xplore,2025,cross-cutting,,multi-agent,tool-use,vulnerability-discovery,,,error-propagation,no,manuscript-explicit
ref-7,Agentic Generative AI for Automation of Cyber Security Attack Chains in Tactical MANETs,Loevenich,IEEE Xplore,2025,vehicular IoT,,multi-agent,,detection,,,,,manuscript-explicit
ref-8,Multi-Class Classification for IoT Attack Detection: An LLM-Based Approach,Mercan,IEEE Xplore,2025,general IoT,,single-agent,,detection,,,,,manuscript-explicit
ref-9,Applying Multi-Agent LLMs to Threat Analysis and Risk Assessment in Automotive Security,Obradov,IEEE Xplore,2025,vehicular IoT,,multi-agent,,,,,,,manuscript-explicit
ref-10,To Protect the LLM Agent Against the Prompt Injection Attack with Polymorphic Prompt,Wang,IEEE Xplore,2025,cross-cutting,,single-agent,reflection,threat-intelligence,,,,,manuscript-explicit
ref-11,Enhancing IoMT Security with Deep Learning Based Approach for Medical IoT Threat Detection,Kavkas,IEEE Xplore,2025,medical IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-12,Advancing IoMT Defenses: Deep Collaborative Learning for Robust Healthcare Security,Otoum,IEEE Xplore,2024,medical IoT,,non-agentic-baseline,none,,,,,,author-verified
ref-13,Efficient Cyber Attack Detection on the Internet of Medical Things-Smart Environment Based on Deep Recurrent Neural Network and Machine Learning Algorithms,Saheed,IEEE Xplore,2021,medical IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-14,Adaptive Deception Architectures: Conceptual Foundations for LLM-Powered Honeypot Systems,Érsok,IEEE Xplore,2025,cross-cutting,,single-agent,,deception,,,,,manuscript-explicit
