row_idx,gold,pred,latency_s,src_ip
0,benign,benign,0.0000,192.168.3.12
1,benign,benign,0.0000,192.168.3.12
2,brute-force,ddos,0.0000,192.168.0.128
3,recon,benign,0.0000,192.168.0.128
4,recon,benign,0.0000,192.168.0.128
5,recon,benign,0.0000,192.168.0.128
6,ddos,benign,0.0000,192.168.0.128
7,benign,benign,0.0000,192.168.3.12
8,recon,benign,0.0000,192.168.0.128
9,recon,benign,0.0000,192.168.0.128
10,brute-force,ddos,0.0000,192.168.0.128
11,ddos,benign,0.0000,192.168.0.128
12,ddos,benign,0.0000,192.168.0.128
13,exfil,benign,0.0000,192.168.0.170
14,injection,ddos,0.0000,192.168.0.128
15,injection,ddos,0.0000,192.168.0.128
16,ddos,benign,0.0000,192.168.0.128
17,injection,ddos,0.0000,192.168.0.128
18,benign,ddos,0.0000,192.168.3.12
19,injection,ddos,0.0000,192.168.0.128
20,recon,benign,0.0000,192.168.0.128
21,brute-force,ddos,0.0000,192.168.0.128
22,benign,benign,0.0000,192.168.3.12
23,brute-force,ddos,0.0000,192.168.0.128
24,brute-force,ddos,0.0000,192.168.0.128
25,ddos,benign,0.0000,192.168.0.128
26,ddos,benign,0.0000,192.168.0.128
27,injection,ddos,0.0000,192.168.0.128
28,recon,benign,0.0000,192.168.0.128
29,recon,benign,0.0000,192.168.0.128
30,ddos,benign,0.0000,192.168.0.128
31,ddos,benign,0.0000,192.168.0.128
32,brute-force,ddos,0.0000,192.168.0.128
33,recon,benign,0.0000,192.168.0.128
34,recon,benign,0.0000,192.168.0.128
35,recon,benign,0.0000,192.168.0.128
36,recon,benign,0.0000,192.168.0.128
37,recon,benign,0.0000,192.168.0.128
38,ddos,benign,0.0000,192.168.0.128
39,ddos,benign,0.0000,192.168.0.128
40,exfil,benign,0.0000,192.168.0.170
41,recon,benign,0.0000,192.168.0.128
42,exfil,benign,0.0000,192.168.0.170
43,ddos,benign,0.0000,192.168.0.128
44,brute-force,ddos,0.0000,192.168.0.128
45,recon,benign,0.0000,192.168.0.128
46,injection,ddos,0.0000,192.168.0.128
47,benign,ddos,0.0000,192.168.3.12
48,recon,benign,0.0000,192.168.0.128
49,recon,benign,0.0000,192.168.0.128
50,recon,benign,0.0000,192.168.0.128
51,brute-force,ddos,0.0000,192.168.0.128
52,ddos,benign,0.0000,192.168.0.128
53,ddos,benign,0.0000,192.168.0.128
54,recon,benign,0.0000,192.168.0.128
55,recon,benign,0.0000,192.168.0.128
56,benign,benign,0.0000,192.168.3.12
57,benign,benign,0.0000,192.168.3.12
58,ddos,benign,0.0000,192.168.0.128
59,recon,benign,0.0000,192.168.0.128
60,ddos,benign,0.0000,192.168.0.128
61,ddos,benign,0.0000,192.168.0.128
62,recon,benign,0.0000,192.168.0.128
63,ddos,benign,0.0000,192.168.0.128
64,benign,ddos,0.0000,192.168.3.12
65,recon,benign,0.0000,192.168.0.128
66,ddos,benign,0.0000,192.168.0.128
67,injection,ddos,0.0000,192.168.0.128
68,recon,benign,0.0000,192.168.0.128
69,recon,benign,0.0000,192.168.0.128
70,recon,benign,0.0000,192.168.0.128
71,recon,benign,0.0000,192.168.0.128
72,brute-force,ddos,0.0000,192.168.0.128
73,ddos,benign,0.0000,192.168.0.128
74,brute-force,ddos,0.0000,192.168.0.128
75,recon,benign,0.0000,192.168.0.128
76,injection,ddos,0.0000,192.168.0.128
77,recon,benign,0.0000,192.168.0.128
78,ddos,benign,0.0000,192.168.0.128
79,injection,ddos,0.0000,192.168.0.128
80,ddos,benign,0.0000,192.168.0.128
81,exfil,benign,0.0000,192.168.0.170
82,benign,ddos,0.0000,192.168.3.12
83,benign,ddos,0.0000,192.168.3.12
84,injection,ddos,0.0000,192.168.0.128
85,injection,ddos,0.0000,192.168.0.128
86,ddos,benign,0.0000,192.168.0.128
87,recon,benign,0.0000,192.168.0.128
88,ddos,benign,0.0000,192.168.0.128
89,brute-force,ddos,0.0000,192.168.0.128
90,injection,ddos,0.0000,192.168.0.128
91,recon,benign,0.0000,192.168.0.128
92,injection,ddos,0.0000,192.168.0.128
93,benign,benign,0.0000,192.168.3.12
94,recon,benign,0.0000,192.168.0.128
95,recon,benign,0.0000,192.168.0.128
96,benign,benign,0.0000,192.168.3.12
97,ddos,benign,0.0000,192.168.0.128
98,recon,benign,0.0000,192.168.0.128
99,brute-force,ddos,0.0000,192.168.0.128
100,ddos,benign,0.0000,192.168.0.128
101,recon,benign,0.0000,192.168.0.128
102,brute-force,ddos,0.0000,192.168.0.128
103,injection,ddos,0.0000,192.168.0.128
104,ddos,benign,0.0000,192.168.0.128
105,benign,benign,0.0000,192.168.3.12
106,recon,benign,0.0000,192.168.0.128
107,benign,benign,0.0000,192.168.3.12
108,recon,benign,0.0000,192.168.0.128
109,recon,benign,0.0000,192.168.0.128
110,ddos,benign,0.0000,192.168.0.128
111,exfil,benign,0.0000,192.168.0.170
112,recon,benign,0.0000,192.168.0.128
113,ddos,benign,0.0000,192.168.0.128
114,recon,benign,0.0000,192.168.0.128
115,recon,benign,0.0000,192.168.0.128
116,ddos,benign,0.0000,192.168.0.128
117,brute-force,ddos,0.0000,192.168.0.128
118,benign,benign,0.0000,192.168.3.12
119,recon,benign,0.0000,192.168.0.128
120,recon,benign,0.0000,192.168.0.128
121,injection,ddos,0.0000,192.168.0.128
122,brute-force,ddos,0.0000,192.168.0.128
123,brute-force,ddos,0.0000,192.168.0.128
124,recon,benign,0.0000,192.168.0.128
125,injection,ddos,0.0000,192.168.0.128
126,brute-force,ddos,0.0000,192.168.0.128
127,recon,benign,0.0000,192.168.0.128
128,ddos,benign,0.0000,192.168.0.128
129,benign,benign,0.0000,192.168.3.12
130,ddos,benign,0.0000,192.168.0.128
131,recon,benign,0.0000,192.168.0.128
132,ddos,benign,0.0000,192.168.0.128
133,recon,benign,0.0000,192.168.0.128
134,ddos,benign,0.0000,192.168.0.128
135,recon,benign,0.0000,192.168.0.128
136,recon,benign,0.0000,192.168.0.128
137,ddos,benign,0.0000,192.168.0.128
138,ddos,benign,0.0000,192.168.0.128
139,recon,benign,0.0000,192.168.0.128
140,injection,ddos,0.0000,192.168.0.128
141,ddos,benign,0.0000,192.168.0.128
142,recon,benign,0.0000,192.168.0.128
143,ddos,benign,0.0000,192.168.0.128
144,recon,benign,0.0000,192.168.0.128
145,recon,benign,0.0000,192.168.0.128
146,benign,ddos,0.0000,192.168.3.12
147,ddos,benign,0.0000,192.168.0.128
148,brute-force,ddos,0.0000,192.168.0.128
149,recon,benign,0.0000,192.168.0.128
150,recon,benign,0.0000,192.168.0.128
151,injection,ddos,0.0000,192.168.0.128
152,recon,benign,0.0000,192.168.0.128
153,ddos,benign,0.0000,192.168.0.128
154,recon,benign,0.0000,192.168.0.128
155,ddos,benign,0.0000,192.168.0.128
156,recon,benign,0.0000,192.168.0.128
157,ddos,benign,0.0000,192.168.0.128
158,recon,benign,0.0000,192.168.0.128
159,ddos,benign,0.0000,192.168.0.128
160,ddos,benign,0.0000,192.168.0.128
161,ddos,benign,0.0000,192.168.0.128
162,ddos,benign,0.0000,192.168.0.128
163,injection,ddos,0.0000,192.168.0.128
164,recon,benign,0.0000,192.168.0.128
165,recon,benign,0.0000,192.168.0.128
166,recon,benign,0.0000,192.168.0.128
